Rank,FID,Username,Display Name,Cast Count,Solana Address,ETH Address,PFP URL,Neynar Score
1,436428,hurric4n3ike,Hurric4n3 🌊✨🌪️✨🌊,98,Cmm9gLP6MgaFfjBFPosQsdrpGQZx41DAc5sB3TXCQDrg,0x29f5dee65e1fb856b816eab4f0b702c10e5eaa34,https://i.imgur.com/MBDfURa.jpg,0.890
2,306193,libapi.eth,libapi,17,FGyYiWQWmSim2uxf3VGep4EQywGvKgFgXLGdVT2FDaGK,0x2f1689161ed466ee3a4acbac68b278c295ead606,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/3aaa8fc5-9609-41ff-7f88-b2858f7d7100/rectcrop3,0.320
3,294743,neonevm,Neon EVM,7,Fgt5FSynRniN3mkZdiwZbcUxe3D6ZmewNnNuyQhseh5g,0x2903d946742062a5b3cefb27f5fab1b74c061861,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/d94748cc-2198-4eda-7d49-c09784c90a00/rectcrop3,0.290
4,350139,joshisdead.eth,joshisdead.eth,4,EE1wsFhCcseYyyNp7W7qef3tr2QhZKnwwKcuVCHC3j3B,0x2e5e9c6358c201c4546b971c2b41882585e270df,https://i.imgur.com/g63pK5y.jpg,0.990
5,871298,vanillasky,VanillaSky,4,GMnV2cZByVENuyzokoWdPqYMdWZa62omgz1h4QuAsKjj,0xb205e587d38c4e71fbbaad5f7567043b1d273807,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/585b2a76-ad11-4137-bad2-db892d85c900/original,0.840
6,19175,vexalus,VEX,3,8NdcaYUC1X5CP7FMDip78uqtqmCt8GcZdCzLRTYTihmb,0x9a608d9f416518b5f11acf3dc5594c90d6998e2c,https://i.imgur.com/jWuoPhJ.jpg,0.360
7,451420,greenginger,Green Ginger,3,3643iWwacdV9jWqTpFXCeXGwbwghUoVHmtVyDWwCxmRK,0x6ad517b0f8d01ee116711a0d1c97e0ec69096602,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/7bc84375-c2ea-47de-ccf5-2c1e9f9e4700/original,0.990
8,1074834,pluggg4u,🔌 Plug4U,3,9aQ15qWMC1dGH9htGjj4TkNGjGwui8VNSuqXFQaybmLb,0x8a91753be252f8f3014ceeb23812ead862261477,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/36afa8ad-ad57-462d-c80f-c8a6dc831400/original,0.310
9,1456429,unizsawp,Demons.eth,3,E7b1DYvrQePsct2qHKbu9hFB41LAMgHGdbp91fbKpnE1,0x980559c5549b388a51dd77058e0181bd688ae7e6,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/77bdcceb-2cbe-4897-8d9d-8bee70b04b00/original,0.620
10,5254,papa,Papajams,2,4FzyJeDxqRn2SKwVLdh2gi9MCvrSvgkCvHDZnNyBpd5v,0x55a5705453ee82c742274154136fce8149597058,https://i.imgur.com/Xwh7VQz.gif,0.990
